iter	Passed	Remaining
0	3	329
1	6	317
2	9	310
3	12	288
4	15	288
5	18	283
6	21	281
7	24	280
8	27	276
9	30	272
10	33	268
11	36	265
12	39	262
13	42	258
14	44	253
15	47	250
16	50	247
17	53	243
18	56	240
19	59	237
20	62	234
21	65	231
22	68	227
23	71	225
24	74	222
25	77	219
26	80	217
27	83	215
28	86	212
29	89	209
30	93	207
31	96	204
32	99	201
33	102	198
34	105	195
35	108	192
36	111	189
37	114	186
38	117	183
39	119	178
40	121	174
41	122	168
42	124	164
43	126	160
44	127	156
45	129	151
46	130	147
47	132	143
48	133	139
49	135	135
50	136	131
51	137	127
52	138	123
53	140	119
54	140	115
55	141	111
56	142	107
57	143	104
58	144	100
59	145	97
60	146	93
61	147	90
62	148	87
63	149	84
64	151	81
65	151	78
66	152	75
67	153	72
68	154	69
69	155	66
70	156	63
71	157	61
72	158	58
73	158	55
74	159	53
75	160	50
76	161	48
77	162	45
78	163	43
79	164	41
80	165	38
81	165	36
82	166	34
83	167	31
84	168	29
85	169	27
86	170	25
87	171	23
88	172	21
89	173	19
90	174	17
91	175	15
92	176	13
93	177	11
94	178	9
95	179	7
96	180	5
97	181	3
98	181	1
99	182	0
